corner_id,uL,vL,disp_map_px,disp_lk_px,valid_map,valid_lk
0,1094.9065002984055,633.3926300429359,77.67591857910156,78.521484375,1,1
1,1093.4303557945639,653.972643570525,80.97941589355469,81.6639404296875,1,1
2,1091.8923109920834,675.4156545756874,84.32311248779297,10.3643798828125,1,1
3,1090.288388937664,697.7771086821404,87.81599426269531,5.6373291015625,1,1
4,1088.6142645420957,721.1173051317444,91.53516387939453,-1.0,1,0
5,1086.8652256338798,745.5019397645202,95.19291687011719,-1.0,1,0
6,1085.0361286648233,771.0027225594915,99.28924560546875,-137.414306640625,1,0
7,1083.121348190753,797.6980819610785,103.44087982177734,5.223388671875,1,1
8,1081.1147190822714,825.6739705613697,107.87561798095703,29.1708984375,1,1
9,1079.0094702150102,855.0247895729403,112.33463287353516,49.02783203125,1,1
10,1037.6776098792868,625.6875081473808,110.70781707763672,83.11798095703125,1,1
11,1034.2503914874092,652.0847023249629,84.60597229003906,99.53857421875,1,1
12,1030.6362588447855,679.9215514084602,88.42735290527344,35.12750244140625,1,1
13,1026.8194923477877,709.3191312622913,93.702392578125,14.254638671875,1,1
14,1022.7825588482533,740.4124860720551,98.19280242919922,4.3116455078125,1,1
15,1018.5058423543121,773.3527025463211,101.69204711914062,53.574951171875,1,1
16,1013.9673252755073,808.3093650372251,106.20014190673828,-1.0,1,0
17,1009.1422092815811,845.4734757699662,110.2657699584961,-1.0,1,0
18,1004.0024619932889,885.0609463304364,121.3399658203125,37.801025390625,1,1
19,998.516272007815,927.3167951800124,128.1696014404297,-13.76861572265625,1,0
20,934.8181083597091,611.8388210328806,170.2605743408203,-1.0,1,0
21,926.1134882401715,648.6349516838809,162.92880249023438,-134.28668212890625,1,0
22,916.7301150005827,688.3003044424752,136.8560028076172,39.85943603515625,1,1
23,906.5853779324732,731.1840909204582,132.1997528076172,73.71356201171875,1,1
24,895.5826934379337,777.6945888644311,131.3896942138672,-72.14947509765625,1,0
25,883.6084203505987,828.31218169693,124.17374420166016,-96.32550048828125,1,0
26,870.5279203350104,883.6060119783562,129.7977294921875,-85.00555419921875,1,0
27,856.1804735443452,944.2554739155464,139.72299194335938,-2.89599609375,1,0
28,840.3726417167381,1011.0782688508617,150.75924682617188,86.08306884765625,1,1
29,822.8694959435973,1085.0674872001425,-1.0,-1.0,0,0
30,695.5722951638362,579.6275001392712,76.08710479736328,117.275634765625,1,1
31,665.4168236830907,640.3182858771345,103.32659149169922,114.5545654296875,1,1
32,631.1378517548818,709.3080127310998,118.28599548339844,137.98114013671875,1,1
33,591.8275294124134,788.4238160471389,131.6079864501953,65.9951171875,1,1
34,546.2903972920046,880.0716727354735,148.23672485351562,29.8914794921875,1,1
35,492.9196959205396,987.4853407221691,167.76881408691406,-1.0,1,0
36,429.5038337002321,1115.1158607374837,-1.0,-1.0,0,0
37,352.9122259929648,1269.26383536452,-1.0,-1.0,0,0
38,258.56261665870716,1459.1514956590297,-1.0,-1.0,0,0
39,139.46930607112026,1698.8382337788146,-1.0,-1.0,0,0
40,-484.92802306802236,420.6885659208385,-1.0,-1.0,0,0
41,-843.7273630442885,592.1740264308932,-1.0,-1.0,0,0
42,-1401.66890712862,858.8380136927486,-1.0,-1.0,0,0
43,-2388.22775673096,1330.3564358155936,-1.0,-1.0,0,0
44,-4605.332943794287,2390.00527471239,-1.0,-1.0,0,0
45,-14170.555249998903,6961.631722433984,-1.0,-1.0,0,0
46,24506.24247197062,-11523.654423423828,-1.0,-1.0,0,0
47,7794.036384067426,-3536.1805409116605,-1.0,-1.0,0,0
48,5028.708719183592,-2214.5128697694354,-1.0,-1.0,0,0
49,3891.6959367700865,-1671.086115944032,-1.0,-1.0,0,0
50,3136.820473417066,908.309650937345,-1.0,-1.0,0,0
51,2829.925932209248,709.3697979931596,-1.0,-1.0,0,0
52,2605.7606019968075,564.0579340149417,-1.0,-1.0,0,0
53,2434.8459073424733,453.2650079279674,-1.0,-1.0,0,0
54,2300.2217051345438,365.9968574924138,-1.0,-1.0,0,0
55,2191.4389295696824,295.48003015308524,-1.0,-1.0,0,0
56,2101.7086717056254,237.31371597276396,-1.0,-1.0,0,0
57,2026.4285979268516,188.51452017007418,-1.0,-1.0,0,0
58,1962.36823430439,146.9883357405708,-1.0,-1.0,0,0
59,1907.1932625039817,111.22197530622272,42.66777038574219,-1.0,1,0
60,1902.5221316668276,742.127516197056,54.42714309692383,-1.0,1,0
61,1860.3401774310491,678.4383677534505,53.199989318847656,-1.0,1,0
62,1822.7327867755937,621.6562027393791,51.32162857055664,-1.0,1,0
63,1788.9940796195133,570.7152359850155,49.57158279418945,-5.81005859375,1,0
64,1758.5562996541719,524.7582308716259,47.53788757324219,-1.0,1,0
65,1730.9576055837488,483.08786838258925,45.56086349487305,-1.0,1,0
66,1705.8184735822406,445.1311179476029,44.24623489379883,-1.0,1,0
67,1682.824139572697,410.4127276162824,42.33500289916992,-1.0,1,0
68,1661.7113515672745,378.5352218511472,40.75303268432617,-1.0,1,0
69,1642.258246214962,349.1636164592454,39.37566375732422,64.05615234375,1,1
