corner_id,uL,vL,disp_map_px,disp_lk_px,valid_map,valid_lk
0,1437.4384893461424,2380.9044035689626,-1.0,-1.0,0,0
1,2489.391444473935,5827.770369483571,-1.0,-1.0,0,0
2,-269.7958740681111,-3213.0796186324988,-1.0,-1.0,0,0
3,526.5765055953242,-603.6579346344181,-1.0,-1.0,0,0
4,698.8426413149206,-39.204669498268714,-1.0,-1.0,0,0
5,774.1132001878503,207.42948495681895,25.123899459838867,-1.0,1,0
6,816.3126343025343,345.7016315596958,52.18659973144531,-35.8323974609375,1,0
7,843.3106555778439,434.1642954338598,40.85921096801758,97.70941162109375,1,1
8,862.0675742609043,495.6238733730788,47.089820861816406,81.32391357421875,1,1
9,875.8571156381213,540.8071685261654,52.576690673828125,221.25830078125,1,1
10,-1845.4205634069483,-3352.964253809275,-1.0,-1.0,0,0
11,165.21762052913834,-356.7632963875252,-1.0,-1.0,0,0
12,499.18914099349837,140.91241541459416,27.737470626831055,-1.0,1,0
13,636.6129206920165,345.6977734142927,98.57183837890625,136.5841064453125,1,1
14,711.5482759927609,457.3644994770093,105.60884857177734,358.4162292480469,1,1
15,758.7214445753566,527.6607337776528,101.24440002441406,12.53131103515625,1,1
16,791.1492553549989,575.9838177026041,83.84343719482422,-22.6068115234375,1,0
17,814.8108686188367,611.2437410849742,73.66822052001953,-104.279541015625,1,0
18,832.8376747556783,638.1068207966732,67.7085189819336,-103.50347900390625,1,0
19,847.0283272936448,659.2533637502445,69.91069030761719,-5.09283447265625,1,0
20,272.2003937260695,345.6899494924429,25.792238235473633,-1.0,1,0
21,486.088952309912,497.06249468128516,71.54203033447266,182.00070190429688,1,1
22,599.1986335240914,577.1121263411168,75.86449432373047,86.5169677734375,1,1
23,669.1754515782072,626.635902288748,91.08427429199219,90.964599609375,1,1
24,716.7407190248524,660.2986453716805,90.38587951660156,72.20855712890625,1,1
25,751.1749524105456,684.6683338848496,89.22863006591797,21.357177734375,1,1
26,777.2561368645091,703.1264285977026,87.6129150390625,97.828125,1,1
27,797.6949195096558,717.5913002581688,80.07023620605469,-148.19085693359375,1,0
28,814.1435877494672,729.232300566519,80.9032211303711,83.27691650390625,1,1
29,827.6666726501139,738.8028161367257,81.58626556396484,77.7152099609375,1,1
30,478.40896453025925,705.8555374805525,99.39846801757812,98.66278076171875,1,1
31,574.2238376683135,731.5859025353398,97.12686920166016,98.77493286132812,1,1
32,638.5778106005932,748.867678965682,95.48196411132812,79.9210205078125,1,1
33,684.7810098254511,761.2752013452374,94.13615417480469,-129.03204345703125,1,0
34,719.5633847896386,770.6157470871447,93.03925323486328,-509.79931640625,1,0
35,746.6937513216486,777.9014033957742,92.29666137695312,44.08441162109375,1,1
36,768.4470002983828,783.7430751422115,91.60018920898438,28.88531494140625,1,1
37,786.2775801734497,788.531343542494,91.11444854736328,90.31982421875,1,1
38,801.1587738761039,792.5275764224208,90.66181182861328,42.50518798828125,1,1
39,813.7664754078029,795.9132800432459,90.3668441772461,38.22314453125,1,1
40,556.369029032688,842.0212281771376,112.8900375366211,121.4744873046875,1,1
41,615.4457669824369,841.27580911154,109.7625961303711,111.40969848632812,1,1
42,659.6368009453381,840.7182150332678,106.62223815917969,-101.4219970703125,1,0
43,693.9387984453501,840.2853989399631,104.54496765136719,-106.10015869140625,1,0
44,721.3371652975196,839.9396915477367,102.76826477050781,-115.0640869140625,1,0
45,743.7254896942802,839.6571999202145,100.9653549194336,90.1939697265625,1,1
46,762.3628526470188,839.4220372121914,99.77274322509766,-1.0,1,0
47,778.119050444013,839.2232284992052,98.6636962890625,-1.0,1,0
48,791.614249574062,839.0529486382196,98.07676696777344,110.9656982421875,1,1
49,803.3025454945929,838.9054679389479,97.23896789550781,92.688720703125,1,1
50,597.3440849174169,913.5885982336549,119.74758911132812,109.8035888671875,1,1
51,639.3380168358016,904.8521311788553,116.35404205322266,117.27899169921875,1,1
52,672.7474922740118,897.9015845605642,113.56383514404297,-190.01361083984375,1,0
53,699.9606838350796,892.240120137769,111.141845703125,-251.27276611328125,1,0
54,722.5550952009032,887.5395521865769,109.04391479492188,61.198486328125,1,1
55,741.614632112109,883.5743836801338,107.2267837524414,-115.3316650390625,1,0
56,757.9086535129994,880.1845562775524,105.73463439941406,-442.83233642578125,1,0
57,771.9983544281021,877.2533183049802,104.42598724365234,-395.89764404296875,1,0
58,784.3027085928803,874.6935059730438,103.35301971435547,130.70086669921875,1,1
59,795.1408372918324,872.4387289138702,102.4852294921875,192.8770751953125,1,1
60,622.6071404512517,957.7132590818211,124.00203704833984,123.10745239257812,1,1
61,654.930570407256,946.3432931160829,120.65196228027344,-25.46795654296875,1,0
62,681.695393972597,936.928601252283,117.86154174804688,-294.78582763671875,1,0
63,704.2219401743523,929.0047496069533,115.40876007080078,-255.08154296875,1,0
64,723.4430620707516,922.2436013599131,113.30677032470703,-192.238525390625,1,0
65,740.0365614585838,916.4067355462003,111.5654296875,111.73175048828125,1,1
66,754.5067789166712,911.3167472547591,110.06887817382812,110.4898681640625,1,1
67,767.2367467571152,906.8389025059872,108.69246673583984,-210.5015869140625,1,0
68,778.5225928640608,902.8690364891324,107.47594451904297,99.2034912109375,1,1
69,788.5968644197835,899.3253492977027,106.38299560546875,111.90032958984375,1,1
