corner_id,uL,vL,disp_map_px,disp_lk_px,valid_map,valid_lk
0,1564.922217289215,2452.500584218277,-1.0,-1.0,0,0
1,1210.226269209233,1825.628082349381,-1.0,-1.0,0,0
2,1006.3885281900722,1465.3750955879661,-1.0,-1.0,0,0
3,874.0430102496375,1231.4740138543027,-1.0,-1.0,0,0
4,781.189616636554,1067.3694068624984,157.23974609375,154.67620849609375,1,1
5,712.4465502504893,945.8762287057106,142.83071899414062,90.992919921875,1,1
6,659.5021743523397,852.3048937107129,130.78582763671875,16.0513916015625,1,1
7,617.4714921924367,778.0218943602567,121.66439819335938,-45.39794921875,1,0
8,583.2952687402002,717.6204862925704,114.40294647216797,-75.43890380859375,1,0
9,554.9599489985108,667.5420095750337,107.99480438232422,-93.31451416015625,1,0
10,2363.149073852429,2950.9742818916134,-1.0,-1.0,0,0
11,1624.8975295265902,1965.1942386939356,-1.0,-1.0,0,0
12,1269.1537074993407,1490.1730038036378,-1.0,-1.0,0,0
13,1059.8046867114456,1210.6313105395363,-1.0,-1.0,0,0
14,921.9051015799698,1026.4953476246392,141.22145080566406,136.41082763671875,1,1
15,824.2091204353427,896.0428626238307,127.53030395507812,126.11102294921875,1,1
16,751.3719750801782,798.7841371305062,118.19979858398438,-170.8907470703125,1,0
17,694.9765103141584,723.479826397276,108.59774017333984,108.8477783203125,1,1
18,650.0202172833704,663.4501294375933,102.11328125,102.2711181640625,1,1
19,613.3431215053025,614.4755633315573,95.7518539428711,95.0433349609375,1,1
20,4482.643952117563,4274.548451918116,-1.0,-1.0,0,0
21,2385.780329254642,2221.28502180115,-1.0,-1.0,0,0
22,1678.6050886074142,1528.8141121658207,-1.0,-1.0,0,0
23,1323.4556621231045,1181.049325902981,-1.0,-1.0,0,0
24,1109.8635768793376,971.8984718313794,121.14007568359375,-1.0,1,0
25,967.2588904539842,832.2589719574207,107.55378723144531,62.4569091796875,1,1
26,865.295366119655,732.4155804088202,103.82911682128906,104.46710205078125,1,1
27,788.7663013026905,657.4777883576694,116.574462890625,116.71044921875,1,1
28,729.210227432491,599.1600669828924,109.59801483154297,5.791015625,1,1
29,681.5442675505014,552.4852278469617,83.59418487548828,168.5838623046875,1,1
30,26955.092432848363,18308.05834682897,-1.0,-1.0,0,0
31,4237.1599741138925,2844.404986203313,-1.0,-1.0,0,0
32,2405.130743317641,1597.3784346882885,-1.0,-1.0,0,0
33,1726.9786269334663,1135.7735209230102,-1.0,-1.0,0,0
34,1373.6561787096655,895.2738243161641,28.701993942260742,31.11328125,1,1
35,1156.87206755318,747.71310966467,81.95547485351562,30.6650390625,1,1
36,1010.2965204748341,647.9419946972004,75.50042724609375,75.719970703125,1,1
37,904.5758081857556,575.9799686261089,147.9929962158203,148.45068359375,1,1
38,824.7181232267864,521.6224006286407,138.87100219726562,138.39776611328125,1,1
39,762.2672881773293,479.1133357284533,139.4205780029297,139.47210693359375,1,1
40,-7340.701293627249,-3108.849607237703,-1.0,-1.0,0,0
41,15451.256679333801,6618.740282133542,-1.0,-1.0,0,0
42,4049.749329964895,1752.5858364782532,-1.0,-1.0,0,0
43,2421.8655309112974,1057.8063004887988,-1.0,-1.0,0,0
44,1770.7751820578253,779.9214473275239,31.97089958190918,1.47900390625,1,1
45,1420.2030211241363,630.297522422114,18.125219345092773,31.626220703125,1,1
46,1201.100734517735,536.7848373575384,45.67146682739258,48.5477294921875,1,1
47,1051.1909988349553,472.80347906984275,44.870460510253906,32.027587890625,1,1
48,942.1669384024301,426.2720950957326,157.5837860107422,156.1165771484375,1,1
49,859.3093293639292,390.9085321716262,151.8017578125,80.5919189453125,1,1
50,-3354.087440007453,-619.304019451235,-1.0,-1.0,0,0
51,-10435.423261906828,-2093.955208640504,-1.0,-1.0,0,0
52,11339.340548823648,2440.5255948975587,-1.0,-1.0,0,0
53,3901.9843777030014,891.7350279751906,-1.0,-1.0,0,0
54,2436.481455508719,586.5517007997133,-1.0,-1.0,0,0
55,1810.6150047459694,456.2182822042082,26.262720108032227,-1.0,1,0
56,1463.4810638800218,383.929452584965,20.084287643432617,-63.4588623046875,1,0
57,1242.789071830172,337.9714982235281,21.238725662231445,21.6903076171875,1,1
58,1090.0985207872066,306.1744886851386,19.21285629272461,-1.0,1,0
59,978.1754396689425,282.86709177305363,146.06936645507812,131.37689208984375,1,1
60,-2223.4943866120125,86.72446763360436,-1.0,-1.0,0,0
61,-4054.925400461743,53.53280730016791,-1.0,-1.0,0,0
62,-16306.691224030546,-168.510199848598,-1.0,-1.0,0,0
63,9227.119309159392,294.24791652428036,-1.0,-1.0,0,0
64,3782.488233568942,195.57297658100623,-1.0,-1.0,0,0
65,2449.356975448568,171.41217578381656,-1.0,-1.0,0,0
66,1847.011118213866,160.49565261401295,24.79232406616211,124.1380615234375,1,1
67,1503.8229587742774,154.2759344087218,20.819812774658203,-14.4449462890625,1,0
68,1282.1498302739985,150.25847531220597,20.518047332763672,18.9676513671875,1,1
69,1127.1604633319464,147.44954918617015,20.768856048583984,37.21337890625,1,1
